Label	Type	Band	Chr	Arm	Index
Fusion_1p311	Fusion	1p311	1	1p	132
Loss_1p312	Loss	1p312	1	1p	133
Gain_1p312	Gain	1p312	1	1p	134
Fusion_1p312	Fusion	1p312	1	1p	135
Loss_1p313	Loss	1p313	1	1p	136
Gain_1p313	Gain	1p313	1	1p	137
Fusion_1p313	Fusion	1p313	1	1p	138
Loss_1p321	Loss	1p321	1	1p	139
Gain_1p321	Gain	1p321	1	1p	140
Fusion_1p321	Fusion	1p321	1	1p	141
Loss_1p322	Loss	1p322	1	1p	142
Gain_1p322	Gain	1p322	1	1p	143
Fusion_1p322	Fusion	1p322	1	1p	144
Loss_1p323	Loss	1p323	1	1p	145
Gain_1p323	Gain	1p323	1	1p	146
Fusion_1p323	Fusion	1p323	1	1p	147
Loss_1p33	Loss	1p33	1	1p	148
Gain_1p33	Gain	1p33	1	1p	149
Fusion_1p33	Fusion	1p33	1	1p	150
Loss_1p341	Loss	1p341	1	1p	151
Gain_1p341	Gain	1p341	1	1p	152
Fusion_1p341	Fusion	1p341	1	1p	153
Loss_1p342	Loss	1p342	1	1p	154
Gain_1p342	Gain	1p342	1	1p	155
Fusion_1p342	Fusion	1p342	1	1p	156
Loss_1p343	Loss	1p343	1	1p	157
Gain_1p343	Gain	1p343	1	1p	158
Fusion_1p343	Fusion	1p343	1	1p	159
Loss_1p351	Loss	1p351	1	1p	160
Gain_1p351	Gain	1p351	1	1p	161
Fusion_1p351	Fusion	1p351	1	1p	162
Loss_1p352	Loss	1p352	1	1p	163
Gain_1p352	Gain	1p352	1	1p	164
Fusion_1p352	Fusion	1p352	1	1p	165
Loss_1p353	Loss	1p353	1	1p	166
Gain_1p353	Gain	1p353	1	1p	167
Fusion_1p353	Fusion	1p353	1	1p	168
Loss_1p3611	Loss	1p3611	1	1p	169
Gain_1p3611	Gain	1p3611	1	1p	170
Fusion_1p3611	Fusion	1p3611	1	1p	171
Loss_1p3612	Loss	1p3612	1	1p	172
Gain_1p3612	Gain	1p3612	1	1p	173
Fusion_1p3612	Fusion	1p3612	1	1p	174
Loss_1p3613	Loss	1p3613	1	1p	175
Gain_1p3613	Gain	1p3613	1	1p	176
Fusion_1p3613	Fusion	1p3613	1	1p	177
Loss_1p3621	Loss	1p3621	1	1p	178
Gain_1p3621	Gain	1p3621	1	1p	179
Fusion_1p3621	Fusion	1p3621	1	1p	180
Loss_1p3622	Loss	1p3622	1	1p	181
Gain_1p3622	Gain	1p3622	1	1p	182
Fusion_1p3622	Fusion	1p3622	1	1p	183
Loss_1p3623	Loss	1p3623	1	1p	184
Gain_1p3623	Gain	1p3623	1	1p	185
Fusion_1p3623	Fusion	1p3623	1	1p	186
Loss_1p3631	Loss	1p3631	1	1p	187
Gain_1p3631	Gain	1p3631	1	1p	188
Fusion_1p3631	Fusion	1p3631	1	1p	189
Loss_1p3632	Loss	1p3632	1	1p	190
Gain_1p3632	Gain	1p3632	1	1p	191
Fusion_1p3632	Fusion	1p3632	1	1p	192
Loss_1p3633	Loss	1p3633	1	1p	193
Gain_1p3633	Gain	1p3633	1	1p	194
Fusion_1p3633	Fusion	1p3633	1	1p	195
Loss_2q373	Loss	2q373	2	2q	196
Gain_2q373	Gain	2q373	2	2q	197
Fusion_2q373	Fusion	2q373	2	2q	198
Loss_2q372	Loss	2q372	2	2q	199
Gain_2q372	Gain	2q372	2	2q	200
Fusion_2q372	Fusion	2q372	2	2q	201
Loss_2q371	Loss	2q371	2	2q	202
Gain_2q371	Gain	2q371	2	2q	203
Fusion_2q371	Fusion	2q371	2	2q	204
Loss_2q363	Loss	2q363	2	2q	205
Gain_2q363	Gain	2q363	2	2q	206
Fusion_2q363	Fusion	2q363	2	2q	207
Loss_2q362	Loss	2q362	2	2q	208
Gain_2q362	Gain	2q362	2	2q	209
Fusion_2q362	Fusion	2q362	2	2q	210
Loss_2q361	Loss	2q361	2	2q	211
Gain_2q361	Gain	2q361	2	2q	212
Fusion_2q361	Fusion	2q361	2	2q	213
Loss_2q35	Loss	2q35	2	2q	214
Gain_2q35	Gain	2q35	2	2q	215
Fusion_2q35	Fusion	2q35	2	2q	216
Loss_2q34	Loss	2q34	2	2q	217
Gain_2q34	Gain	2q34	2	2q	218
Fusion_2q34	Fusion	2q34	2	2q	219
Loss_2q333	Loss	2q333	2	2q	220
Gain_2q333	Gain	2q333	2	2q	221
Fusion_2q333	Fusion	2q333	2	2q	222
Loss_2q332	Loss	2q332	2	2q	223
Gain_2q332	Gain	2q332	2	2q	224
Fusion_2q332	Fusion	2q332	2	2q	225
Loss_2q331	Loss	2q331	2	2q	226
Gain_2q331	Gain	2q331	2	2q	227
Fusion_2q331	Fusion	2q331	2	2q	228
Loss_2q323	Loss	2q323	2	2q	229
Gain_2q323	Gain	2q323	2	2q	230
Fusion_2q323	Fusion	2q323	2	2q	231
Loss_2q322	Loss	2q322	2	2q	232
Gain_2q322	Gain	2q322	2	2q	233
Fusion_2q322	Fusion	2q322	2	2q	234
Loss_2q321	Loss	2q321	2	2q	235
Gain_2q321	Gain	2q321	2	2q	236
Fusion_2q321	Fusion	2q321	2	2q	237
Loss_2q313	Loss	2q313	2	2q	238
Gain_2q313	Gain	2q313	2	2q	239
Fusion_2q313	Fusion	2q313	2	2q	240
Loss_2q312	Loss	2q312	2	2q	241
Gain_2q312	Gain	2q312	2	2q	242
Fusion_2q312	Fusion	2q312	2	2q	243
Loss_2q311	Loss	2q311	2	2q	244
Gain_2q311	Gain	2q311	2	2q	245
Fusion_2q311	Fusion	2q311	2	2q	246
Loss_2q243	Loss	2q243	2	2q	247
Gain_2q243	Gain	2q243	2	2q	248
Fusion_2q243	Fusion	2q243	2	2q	249
Loss_2q242	Loss	2q242	2	2q	250
Gain_2q242	Gain	2q242	2	2q	251
Fusion_2q242	Fusion	2q242	2	2q	252
Loss_2q241	Loss	2q241	2	2q	253
Gain_2q241	Gain	2q241	2	2q	254
Fusion_2q241	Fusion	2q241	2	2q	255
Loss_2q233	Loss	2q233	2	2q	256
Gain_2q233	Gain	2q233	2	2q	257
Fusion_2q233	Fusion	2q233	2	2q	258
Loss_2q232	Loss	2q232	2	2q	259
Gain_2q232	Gain	2q232	2	2q	260
Fusion_2q232	Fusion	2q232	2	2q	261
Loss_2q231	Loss	2q231	2	2q	262
Gain_2q231	Gain	2q231	2	2q	263
Fusion_2q231	Fusion	2q231	2	2q	264
Loss_2q223	Loss	2q223	2	2q	265
Gain_2q223	Gain	2q223	2	2q	266
Fusion_2q223	Fusion	2q223	2	2q	267
Loss_2q222	Loss	2q222	2	2q	268
Gain_2q222	Gain	2q222	2	2q	269
Fusion_2q222	Fusion	2q222	2	2q	270
Loss_2q221	Loss	2q221	2	2q	271
Gain_2q221	Gain	2q221	2	2q	272
Fusion_2q221	Fusion	2q221	2	2q	273
Loss_2q213	Loss	2q213	2	2q	274
Gain_2q213	Gain	2q213	2	2q	275
Fusion_2q213	Fusion	2q213	2	2q	276
Loss_2q212	Loss	2q212	2	2q	277
Gain_2q212	Gain	2q212	2	2q	278
Fusion_2q212	Fusion	2q212	2	2q	279
Loss_2q211	Loss	2q211	2	2q	280
Gain_2q211	Gain	2q211	2	2q	281
Fusion_2q211	Fusion	2q211	2	2q	282
Loss_2q143	Loss	2q143	2	2q	283
Gain_2q143	Gain	2q143	2	2q	284
Fusion_2q143	Fusion	2q143	2	2q	285
Loss_2q142	Loss	2q142	2	2q	286
Gain_2q142	Gain	2q142	2	2q	287
Fusion_2q142	Fusion	2q142	2	2q	288
Loss_2q141	Loss	2q141	2	2q	289
Gain_2q141	Gain	2q141	2	2q	290
Fusion_2q141	Fusion	2q141	2	2q	291
Loss_2q13	Loss	2q13	2	2q	292
Gain_2q13	Gain	2q13	2	2q	293
Fusion_2q13	Fusion	2q13	2	2q	294
Loss_2q123	Loss	2q123	2	2q	295
Gain_2q123	Gain	2q123	2	2q	296
Fusion_2q123	Fusion	2q123	2	2q	297
Loss_2q122	Loss	2q122	2	2q	298
Gain_2q122	Gain	2q122	2	2q	299
Fusion_2q122	Fusion	2q122	2	2q	300
Loss_2q121	Loss	2q121	2	2q	301
Gain_2q121	Gain	2q121	2	2q	302
Fusion_2q121	Fusion	2q121	2	2q	303
Loss_2q112	Loss	2q112	2	2q	304
Gain_2q112	Gain	2q112	2	2q	305
Fusion_2q112	Fusion	2q112	2	2q	306
Loss_2q111	Loss	2q111	2	2q	307
Gain_2q111	Gain	2q111	2	2q	308
Fusion_2q111	Fusion	2q111	2	2q	309
Loss_2q10	Loss	2q10	2	2q	310
Gain_2q10	Gain	2q10	2	2q	311
Fusion_2q10	Fusion	2q10	2	2q	312
Loss_2p10	Loss	2p10	2	2p	313
Gain_2p10	Gain	2p10	2	2p	314
Fusion_2p10	Fusion	2p10	2	2p	315
Loss_2p111	Loss	2p111	2	2p	316
Gain_2p111	Gain	2p111	2	2p	317
Fusion_2p111	Fusion	2p111	2	2p	318
Loss_2p112	Loss	2p112	2	2p	319
Gain_2p112	Gain	2p112	2	2p	320
Fusion_2p112	Fusion	2p112	2	2p	321
Loss_2p12	Loss	2p12	2	2p	322
Gain_2p12	Gain	2p12	2	2p	323
Fusion_2p12	Fusion	2p12	2	2p	324
Loss_2p131	Loss	2p131	2	2p	325
Gain_2p131	Gain	2p131	2	2p	326
Fusion_2p131	Fusion	2p131	2	2p	327
Loss_2p132	Loss	2p132	2	2p	328
Gain_2p132	Gain	2p132	2	2p	329
Fusion_2p132	Fusion	2p132	2	2p	330
Loss_2p133	Loss	2p133	2	2p	331
Gain_2p133	Gain	2p133	2	2p	332
Fusion_2p133	Fusion	2p133	2	2p	333
Loss_2p14	Loss	2p14	2	2p	334
Gain_2p14	Gain	2p14	2	2p	335
Fusion_2p14	Fusion	2p14	2	2p	336
Loss_2p15	Loss	2p15	2	2p	337
Gain_2p15	Gain	2p15	2	2p	338
Fusion_2p15	Fusion	2p15	2	2p	339
Loss_2p161	Loss	2p161	2	2p	340
Gain_2p161	Gain	2p161	2	2p	341
Fusion_2p161	Fusion	2p161	2	2p	342
Loss_2p162	Loss	2p162	2	2p	343
Gain_2p162	Gain	2p162	2	2p	344
Fusion_2p162	Fusion	2p162	2	2p	345
Loss_2p163	Loss	2p163	2	2p	346
Gain_2p163	Gain	2p163	2	2p	347
Fusion_2p163	Fusion	2p163	2	2p	348
Loss_2p21	Loss	2p21	2	2p	349
Gain_2p21	Gain	2p21	2	2p	350
Fusion_2p21	Fusion	2p21	2	2p	351
Loss_2p221	Loss	2p221	2	2p	352
Gain_2p221	Gain	2p221	2	2p	353
Fusion_2p221	Fusion	2p221	2	2p	354
Loss_2p222	Loss	2p222	2	2p	355
Gain_2p222	Gain	2p222	2	2p	356
Fusion_2p222	Fusion	2p222	2	2p	357
Loss_2p223	Loss	2p223	2	2p	358
Gain_2p223	Gain	2p223	2	2p	359
Fusion_2p223	Fusion	2p223	2	2p	360
Loss_2p231	Loss	2p231	2	2p	361
Gain_2p231	Gain	2p231	2	2p	362
Fusion_2p231	Fusion	2p231	2	2p	363
Loss_2p232	Loss	2p232	2	2p	364
Gain_2p232	Gain	2p232	2	2p	365
Fusion_2p232	Fusion	2p232	2	2p	366
Loss_2p233	Loss	2p233	2	2p	367
Gain_2p233	Gain	2p233	2	2p	368
Fusion_2p233	Fusion	2p233	2	2p	369
Loss_2p241	Loss	2p241	2	2p	370
Gain_2p241	Gain	2p241	2	2p	371
Fusion_2p241	Fusion	2p241	2	2p	372
Loss_2p242	Loss	2p242	2	2p	373
Gain_2p242	Gain	2p242	2	2p	374
Fusion_2p242	Fusion	2p242	2	2p	375
Loss_2p243	Loss	2p243	2	2p	376
Gain_2p243	Gain	2p243	2	2p	377
Fusion_2p243	Fusion	2p243	2	2p	378
Loss_2p251	Loss	2p251	2	2p	379
Gain_2p251	Gain	2p251	2	2p	380
Fusion_2p251	Fusion	2p251	2	2p	381
Loss_2p252	Loss	2p252	2	2p	382
Gain_2p252	Gain	2p252	2	2p	383
Fusion_2p252	Fusion	2p252	2	2p	384
Loss_2p253	Loss	2p253	2	2p	385
Gain_2p253	Gain	2p253	2	2p	386
Fusion_2p253	Fusion	2p253	2	2p	387
Loss_3q29	Loss	3q29	3	3q	388
Gain_3q29	Gain	3q29	3	3q	389
Fusion_3q29	Fusion	3q29	3	3q	390
Loss_3q28	Loss	3q28	3	3q	391
Gain_3q28	Gain	3q28	3	3q	392
Fusion_3q28	Fusion	3q28	3	3q	393
Loss_3q273	Loss	3q273	3	3q	394
Gain_3q273	Gain	3q273	3	3q	395
Fusion_3q273	Fusion	3q273	3	3q	396
Loss_3q272	Loss	3q272	3	3q	397
Gain_3q272	Gain	3q272	3	3q	398
Fusion_3q272	Fusion	3q272	3	3q	399
Loss_3q271	Loss	3q271	3	3q	400
Gain_3q271	Gain	3q271	3	3q	401
Fusion_3q271	Fusion	3q271	3	3q	402
Loss_3q2633	Loss	3q2633	3	3q	403
Gain_3q2633	Gain	3q2633	3	3q	404
Fusion_3q2633	Fusion	3q2633	3	3q	405
Loss_3q2632	Loss	3q2632	3	3q	406
Gain_3q2632	Gain	3q2632	3	3q	407
Fusion_3q2632	Fusion	3q2632	3	3q	408
Loss_3q2631	Loss	3q2631	3	3q	409
Gain_3q2631	Gain	3q2631	3	3q	410
Fusion_3q2631	Fusion	3q2631	3	3q	411
Loss_3q262	Loss	3q262	3	3q	412
Gain_3q262	Gain	3q262	3	3q	413
Fusion_3q262	Fusion	3q262	3	3q	414
Loss_3q261	Loss	3q261	3	3q	415
Gain_3q261	Gain	3q261	3	3q	416
Fusion_3q261	Fusion	3q261	3	3q	417
Loss_3q2533	Loss	3q2533	3	3q	418
Gain_3q2533	Gain	3q2533	3	3q	419
Fusion_3q2533	Fusion	3q2533	3	3q	420
Loss_3q2532	Loss	3q2532	3	3q	421
Gain_3q2532	Gain	3q2532	3	3q	422
Fusion_3q2532	Fusion	3q2532	3	3q	423
Loss_3q2531	Loss	3q2531	3	3q	424
Gain_3q2531	Gain	3q2531	3	3q	425
Fusion_3q2531	Fusion	3q2531	3	3q	426
Loss_3q252	Loss	3q252	3	3q	427
Gain_3q252	Gain	3q252	3	3q	428
Fusion_3q252	Fusion	3q252	3	3q	429
Loss_3q251	Loss	3q251	3	3q	430
Gain_3q251	Gain	3q251	3	3q	431
Fusion_3q251	Fusion	3q251	3	3q	432
Loss_3q24	Loss	3q24	3	3q	433
Gain_3q24	Gain	3q24	3	3q	434
Fusion_3q24	Fusion	3q24	3	3q	435
Loss_3q23	Loss	3q23	3	3q	436
Gain_3q23	Gain	3q23	3	3q	437
Fusion_3q23	Fusion	3q23	3	3q	438
Loss_3q223	Loss	3q223	3	3q	439
Gain_3q223	Gain	3q223	3	3q	440
Fusion_3q223	Fusion	3q223	3	3q	441
Loss_3q222	Loss	3q222	3	3q	442
Gain_3q222	Gain	3q222	3	3q	443
Fusion_3q222	Fusion	3q222	3	3q	444
Loss_3q221	Loss	3q221	3	3q	445
Gain_3q221	Gain	3q221	3	3q	446
Fusion_3q221	Fusion	3q221	3	3q	447
Loss_3q213	Loss	3q213	3	3q	448
Gain_3q213	Gain	3q213	3	3q	449
Fusion_3q213	Fusion	3q213	3	3q	450
Loss_3q212	Loss	3q212	3	3q	451
Gain_3q212	Gain	3q212	3	3q	452
Fusion_3q212	Fusion	3q212	3	3q	453
Loss_3q211	Loss	3q211	3	3q	454
Gain_3q211	Gain	3q211	3	3q	455
Fusion_3q211	Fusion	3q211	3	3q	456
Loss_3q1333	Loss	3q1333	3	3q	457
Gain_3q1333	Gain	3q1333	3	3q	458
Fusion_3q1333	Fusion	3q1333	3	3q	459
Loss_3q1332	Loss	3q1332	3	3q	460
Gain_3q1332	Gain	3q1332	3	3q	461
Fusion_3q1332	Fusion	3q1332	3	3q	462
Loss_3q1331	Loss	3q1331	3	3q	463
Gain_3q1331	Gain	3q1331	3	3q	464
Fusion_3q1331	Fusion	3q1331	3	3q	465
Loss_3q132	Loss	3q132	3	3q	466
Gain_3q132	Gain	3q132	3	3q	467
Fusion_3q132	Fusion	3q132	3	3q	468
Loss_3q1313	Loss	3q1313	3	3q	469
Gain_3q1313	Gain	3q1313	3	3q	470
Fusion_3q1313	Fusion	3q1313	3	3q	471
Loss_3q1312	Loss	3q1312	3	3q	472
Gain_3q1312	Gain	3q1312	3	3q	473
Fusion_3q1312	Fusion	3q1312	3	3q	474
Loss_3q1311	Loss	3q1311	3	3q	475
Gain_3q1311	Gain	3q1311	3	3q	476
Fusion_3q1311	Fusion	3q1311	3	3q	477
Loss_3q123	Loss	3q123	3	3q	478
Gain_3q123	Gain	3q123	3	3q	479
Fusion_3q123	Fusion	3q123	3	3q	480
Loss_3q122	Loss	3q122	3	3q	481
Gain_3q122	Gain	3q122	3	3q	482
Fusion_3q122	Fusion	3q122	3	3q	483
Loss_3q121	Loss	3q121	3	3q	484
Gain_3q121	Gain	3q121	3	3q	485
Fusion_3q121	Fusion	3q121	3	3q	486
Loss_3q112	Loss	3q112	3	3q	487
Gain_3q112	Gain	3q112	3	3q	488
Fusion_3q112	Fusion	3q112	3	3q	489
Loss_3q111	Loss	3q111	3	3q	490
Gain_3q111	Gain	3q111	3	3q	491
Fusion_3q111	Fusion	3q111	3	3q	492
Loss_3q10	Loss	3q10	3	3q	493
Gain_3q10	Gain	3q10	3	3q	494
Fusion_3q10	Fusion	3q10	3	3q	495
Loss_3p10	Loss	3p10	3	3p	496
Gain_3p10	Gain	3p10	3	3p	497
Fusion_3p10	Fusion	3p10	3	3p	498
Loss_3p111	Loss	3p111	3	3p	499
Gain_3p111	Gain	3p111	3	3p	500
Fusion_3p111	Fusion	3p111	3	3p	501
Loss_3p112	Loss	3p112	3	3p	502
Gain_3p112	Gain	3p112	3	3p	503
Fusion_3p112	Fusion	3p112	3	3p	504
Loss_3p121	Loss	3p121	3	3p	505
Gain_3p121	Gain	3p121	3	3p	506
Fusion_3p121	Fusion	3p121	3	3p	507
Loss_3p122	Loss	3p122	3	3p	508
Gain_3p122	Gain	3p122	3	3p	509
Fusion_3p122	Fusion	3p122	3	3p	510
Loss_3p123	Loss	3p123	3	3p	511
Gain_3p123	Gain	3p123	3	3p	512
Fusion_3p123	Fusion	3p123	3	3p	513
Loss_3p13	Loss	3p13	3	3p	514
Gain_3p13	Gain	3p13	3	3p	515
Fusion_3p13	Fusion	3p13	3	3p	516
Loss_3p141	Loss	3p141	3	3p	517
Gain_3p141	Gain	3p141	3	3p	518
Fusion_3p141	Fusion	3p141	3	3p	519
Loss_3p142	Loss	3p142	3	3p	520
Gain_3p142	Gain	3p142	3	3p	521
Fusion_3p142	Fusion	3p142	3	3p	522
Loss_3p143	Loss	3p143	3	3p	523
Gain_3p143	Gain	3p143	3	3p	524
Fusion_3p143	Fusion	3p143	3	3p	525
Loss_3p211	Loss	3p211	3	3p	526
Gain_3p211	Gain	3p211	3	3p	527
Fusion_3p211	Fusion	3p211	3	3p	528
Loss_3p212	Loss	3p212	3	3p	529
Gain_3p212	Gain	3p212	3	3p	530
Fusion_3p212	Fusion	3p212	3	3p	531
Loss_3p2131	Loss	3p2131	3	3p	532
Gain_3p2131	Gain	3p2131	3	3p	533
Fusion_3p2131	Fusion	3p2131	3	3p	534
Loss_3p2132	Loss	3p2132	3	3p	535
Gain_3p2132	Gain	3p2132	3	3p	536
Fusion_3p2132	Fusion	3p2132	3	3p	537
Loss_3p2133	Loss	3p2133	3	3p	538
Gain_3p2133	Gain	3p2133	3	3p	539
Fusion_3p2133	Fusion	3p2133	3	3p	540
Loss_3p221	Loss	3p221	3	3p	541
Gain_3p221	Gain	3p221	3	3p	542
Fusion_3p221	Fusion	3p221	3	3p	543
Loss_3p222	Loss	3p222	3	3p	544
Gain_3p222	Gain	3p222	3	3p	545
Fusion_3p222	Fusion	3p222	3	3p	546
Loss_3p223	Loss	3p223	3	3p	547
Gain_3p223	Gain	3p223	3	3p	548
Fusion_3p223	Fusion	3p223	3	3p	549
Loss_3p23	Loss	3p23	3	3p	550
Gain_3p23	Gain	3p23	3	3p	551
Fusion_3p23	Fusion	3p23	3	3p	552
Loss_3p241	Loss	3p241	3	3p	553
Gain_3p241	Gain	3p241	3	3p	554
Fusion_3p241	Fusion	3p241	3	3p	555
Loss_3p242	Loss	3p242	3	3p	556
Gain_3p242	Gain	3p242	3	3p	557
Fusion_3p242	Fusion	3p242	3	3p	558
Loss_3p243	Loss	3p243	3	3p	559
Gain_3p243	Gain	3p243	3	3p	560
Fusion_3p243	Fusion	3p243	3	3p	561
Loss_3p251	Loss	3p251	3	3p	562
Gain_3p251	Gain	3p251	3	3p	563
Fusion_3p251	Fusion	3p251	3	3p	564
Loss_3p252	Loss	3p252	3	3p	565
Gain_3p252	Gain	3p252	3	3p	566
Fusion_3p252	Fusion	3p252	3	3p	567
Loss_3p253	Loss	3p253	3	3p	568
Gain_3p253	Gain	3p253	3	3p	569
Fusion_3p253	Fusion	3p253	3	3p	570
Loss_3p261	Loss	3p261	3	3p	571
Gain_3p261	Gain	3p261	3	3p	572
Fusion_3p261	Fusion	3p261	3	3p	573
Loss_3p262	Loss	3p262	3	3p	574
Gain_3p262	Gain	3p262	3	3p	575
Fusion_3p262	Fusion	3p262	3	3p	576
Loss_3p263	Loss	3p263	3	3p	577
Gain_3p263	Gain	3p263	3	3p	578
Fusion_3p263	Fusion	3p263	3	3p	579
Loss_4q352	Loss	4q352	4	4q	580
Gain_4q352	Gain	4q352	4	4q	581
Fusion_4q352	Fusion	4q352	4	4q	582
Loss_4q351	Loss	4q351	4	4q	583
