Label	Type	Band	Chr	Arm	Index
Loss_1q44	Loss	1q44	1	1q	1
Gain_1q44	Gain	1q44	1	1q	2
Fusion_1q44	Fusion	1q44	1	1q	3
Loss_1q43	Loss	1q43	1	1q	4
Gain_1q43	Gain	1q43	1	1q	5
Fusion_1q43	Fusion	1q43	1	1q	6
Loss_1q423	Loss	1q423	1	1q	7
Gain_1q423	Gain	1q423	1	1q	8
Fusion_1q423	Fusion	1q423	1	1q	9
Loss_1q422	Loss	1q422	1	1q	10
Gain_1q422	Gain	1q422	1	1q	11
Fusion_1q422	Fusion	1q422	1	1q	12
Loss_1q4213	Loss	1q4213	1	1q	13
Gain_1q4213	Gain	1q4213	1	1q	14
Fusion_1q4213	Fusion	1q4213	1	1q	15
Loss_1q4212	Loss	1q4212	1	1q	16
Gain_1q4212	Gain	1q4212	1	1q	17
Fusion_1q4212	Fusion	1q4212	1	1q	18
Loss_1q4211	Loss	1q4211	1	1q	19
Gain_1q4211	Gain	1q4211	1	1q	20
Fusion_1q4211	Fusion	1q4211	1	1q	21
Loss_1q41	Loss	1q41	1	1q	22
Gain_1q41	Gain	1q41	1	1q	23
Fusion_1q41	Fusion	1q41	1	1q	24
Loss_1q323	Loss	1q323	1	1q	25
Gain_1q323	Gain	1q323	1	1q	26
Fusion_1q323	Fusion	1q323	1	1q	27
Loss_1q322	Loss	1q322	1	1q	28
Gain_1q322	Gain	1q322	1	1q	29
Fusion_1q322	Fusion	1q322	1	1q	30
Loss_1q321	Loss	1q321	1	1q	31
Gain_1q321	Gain	1q321	1	1q	32
Fusion_1q321	Fusion	1q321	1	1q	33
Loss_1q313	Loss	1q313	1	1q	34
Gain_1q313	Gain	1q313	1	1q	35
Fusion_1q313	Fusion	1q313	1	1q	36
Loss_1q312	Loss	1q312	1	1q	37
Gain_1q312	Gain	1q312	1	1q	38
Fusion_1q312	Fusion	1q312	1	1q	39
Loss_1q311	Loss	1q311	1	1q	40
Gain_1q311	Gain	1q311	1	1q	41
Fusion_1q311	Fusion	1q311	1	1q	42
Loss_1q253	Loss	1q253	1	1q	43
Gain_1q253	Gain	1q253	1	1q	44
Fusion_1q253	Fusion	1q253	1	1q	45
Loss_1q252	Loss	1q252	1	1q	46
Gain_1q252	Gain	1q252	1	1q	47
Fusion_1q252	Fusion	1q252	1	1q	48
Loss_1q251	Loss	1q251	1	1q	49
Gain_1q251	Gain	1q251	1	1q	50
Fusion_1q251	Fusion	1q251	1	1q	51
Loss_1q243	Loss	1q243	1	1q	52
Gain_1q243	Gain	1q243	1	1q	53
Fusion_1q243	Fusion	1q243	1	1q	54
Loss_1q242	Loss	1q242	1	1q	55
Gain_1q242	Gain	1q242	1	1q	56
Fusion_1q242	Fusion	1q242	1	1q	57
Loss_1q241	Loss	1q241	1	1q	58
Gain_1q241	Gain	1q241	1	1q	59
Fusion_1q241	Fusion	1q241	1	1q	60
Loss_1q233	Loss	1q233	1	1q	61
Gain_1q233	Gain	1q233	1	1q	62
Fusion_1q233	Fusion	1q233	1	1q	63
Loss_1q232	Loss	1q232	1	1q	64
Gain_1q232	Gain	1q232	1	1q	65
Fusion_1q232	Fusion	1q232	1	1q	66
Loss_1q231	Loss	1q231	1	1q	67
Gain_1q231	Gain	1q231	1	1q	68
Fusion_1q231	Fusion	1q231	1	1q	69
Loss_1q22	Loss	1q22	1	1q	70
Gain_1q22	Gain	1q22	1	1q	71
Fusion_1q22	Fusion	1q22	1	1q	72
Loss_1q213	Loss	1q213	1	1q	73
Gain_1q213	Gain	1q213	1	1q	74
Fusion_1q213	Fusion	1q213	1	1q	75
Loss_1q212	Loss	1q212	1	1q	76
Gain_1q212	Gain	1q212	1	1q	77
Fusion_1q212	Fusion	1q212	1	1q	78
Loss_1q211	Loss	1q211	1	1q	79
Gain_1q211	Gain	1q211	1	1q	80
Fusion_1q211	Fusion	1q211	1	1q	81
Loss_1q12	Loss	1q12	1	1q	82
Gain_1q12	Gain	1q12	1	1q	83
Fusion_1q12	Fusion	1q12	1	1q	84
Loss_1q11	Loss	1q11	1	1q	85
Gain_1q11	Gain	1q11	1	1q	86
Fusion_1q11	Fusion	1q11	1	1q	87
Loss_1q10	Loss	1q10	1	1q	88
Gain_1q10	Gain	1q10	1	1q	89
Fusion_1q10	Fusion	1q10	1	1q	90
Loss_1p10	Loss	1p10	1	1p	91
Gain_1p10	Gain	1p10	1	1p	92
Fusion_1p10	Fusion	1p10	1	1p	93
Loss_1p111	Loss	1p111	1	1p	94
Gain_1p111	Gain	1p111	1	1p	95
Fusion_1p111	Fusion	1p111	1	1p	96
Loss_1p112	Loss	1p112	1	1p	97
Gain_1p112	Gain	1p112	1	1p	98
Fusion_1p112	Fusion	1p112	1	1p	99
Loss_1p12	Loss	1p12	1	1p	100
Gain_1p12	Gain	1p12	1	1p	101
Fusion_1p12	Fusion	1p12	1	1p	102
Loss_1p131	Loss	1p131	1	1p	103
Gain_1p131	Gain	1p131	1	1p	104
Fusion_1p131	Fusion	1p131	1	1p	105
Loss_1p132	Loss	1p132	1	1p	106
Gain_1p132	Gain	1p132	1	1p	107
Fusion_1p132	Fusion	1p132	1	1p	108
Loss_1p133	Loss	1p133	1	1p	109
Gain_1p133	Gain	1p133	1	1p	110
Fusion_1p133	Fusion	1p133	1	1p	111
Loss_1p211	Loss	1p211	1	1p	112
Gain_1p211	Gain	1p211	1	1p	113
Fusion_1p211	Fusion	1p211	1	1p	114
Loss_1p212	Loss	1p212	1	1p	115
Gain_1p212	Gain	1p212	1	1p	116
Fusion_1p212	Fusion	1p212	1	1p	117
Loss_1p213	Loss	1p213	1	1p	118
Gain_1p213	Gain	1p213	1	1p	119
Fusion_1p213	Fusion	1p213	1	1p	120
Loss_1p221	Loss	1p221	1	1p	121
Gain_1p221	Gain	1p221	1	1p	122
Fusion_1p221	Fusion	1p221	1	1p	123
Loss_1p222	Loss	1p222	1	1p	124
Gain_1p222	Gain	1p222	1	1p	125
Fusion_1p222	Fusion	1p222	1	1p	126
Loss_1p223	Loss	1p223	1	1p	127
Gain_1p223	Gain	1p223	1	1p	128
Fusion_1p223	Fusion	1p223	1	1p	129
Loss_1p311	Loss	1p311	1	1p	130
Gain_1p311	Gain	1p311	1	1p	131
